Date,Order ID,SKU,Transaction type,Payment Type,Payment Detail,Amount,Quantity,Product Title
29-May-16,103-5764692-5820245,SUA-790-PPK,Order Payment,Amazon fees,FBA Order Handling Fee,-$1.00,,"Double Swag Shower Curtain With Liner Set, Taupe (Tan), 70x72"
29-May-16,103-5764692-5820245,SUA-790-PPK,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$1.06,,"Double Swag Shower Curtain With Liner Set, Taupe (Tan), 70x72"
29-May-16,103-5764692-5820245,SUA-790-PPK,Order Payment,Amazon fees,FBA Weight Handling Fee,-$1.95,,"Double Swag Shower Curtain With Liner Set, Taupe (Tan), 70x72"
29-May-16,103-5764692-5820245,SUA-790-PPK,Order Payment,Amazon fees,Referral Fee on Item Price,-$2.85,,"Double Swag Shower Curtain With Liner Set, Taupe (Tan), 70x72"
29-May-16,103-5764692-5820245,SUA-790-PPK,Order Payment,Product charges,,$18.99,1,"Double Swag Shower Curtain With Liner Set, Taupe (Tan), 70x72"
29-May-16,104-9137954-3317831,0W-I967-F2HV,Order Payment,Amazon fees,FBA Order Handling Fee,-$1.00,,"Flocked Ultra Thin Heavy Duty Velvet Hangers (10, Forrest Green)"
29-May-16,104-9137954-3317831,0W-I967-F2HV,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$1.06,,"Flocked Ultra Thin Heavy Duty Velvet Hangers (10, Forrest Green)"
29-May-16,104-9137954-3317831,0W-I967-F2HV,Order Payment,Amazon fees,FBA Weight Handling Fee,-$2.34,,"Flocked Ultra Thin Heavy Duty Velvet Hangers (10, Forrest Green)"
29-May-16,104-9137954-3317831,0W-I967-F2HV,Order Payment,Amazon fees,Referral Fee on Item Price,-$1.65,,"Flocked Ultra Thin Heavy Duty Velvet Hangers (10, Forrest Green)"
29-May-16,104-9137954-3317831,0W-I967-F2HV,Order Payment,Product charges,,$10.99,1,"Flocked Ultra Thin Heavy Duty Velvet Hangers (10, Forrest Green)"
29-May-16,107-2636280-0677848,VG6-VKY-SRF,Order Payment,Amazon fees,FBA Order Handling Fee,-$1.00,,"Better Home New Crochet Vinyl Lace Tablecloth, 70"" Round, White"
29-May-16,107-2636280-0677848,VG6-VKY-SRF,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$3.18,,"Better Home New Crochet Vinyl Lace Tablecloth, 70"" Round, White"
29-May-16,107-2636280-0677848,VG6-VKY-SRF,Order Payment,Amazon fees,FBA Weight Handling Fee,-$5.85,,"Better Home New Crochet Vinyl Lace Tablecloth, 70"" Round, White"
29-May-16,107-2636280-0677848,VG6-VKY-SRF,Order Payment,Amazon fees,Referral Fee on Item Price,-$5.34,,"Better Home New Crochet Vinyl Lace Tablecloth, 70"" Round, White"
29-May-16,107-2636280-0677848,VG6-VKY-SRF,Order Payment,Product charges,,$23.70,2,"Better Home New Crochet Vinyl Lace Tablecloth, 70"" Round, White"
29-May-16,107-2636280-0677848,VG6-VKY-SRF,Order Payment,Product charges,,$11.85,1,"Better Home New Crochet Vinyl Lace Tablecloth, 70"" Round, White"
28-May-16,112-3173626-9894650,CA0-038-BBP,Order Payment,Amazon fees,FBA Order Handling Fee,-$1.00,,"Post-it Mobile Attach and Go Insert, 3.94 x 5.5 Inches, Includes Attach and Go Full Adhesive Notes and Flags Dispenser (PM-INSERT1)"
28-May-16,112-3173626-9894650,CA0-038-BBP,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$1.06,,"Post-it Mobile Attach and Go Insert, 3.94 x 5.5 Inches, Includes Attach and Go Full Adhesive Notes and Flags Dispenser (PM-INSERT1)"
28-May-16,112-3173626-9894650,CA0-038-BBP,Order Payment,Amazon fees,FBA Weight Handling Fee,-$0.50,,"Post-it Mobile Attach and Go Insert, 3.94 x 5.5 Inches, Includes Attach and Go Full Adhesive Notes and Flags Dispenser (PM-INSERT1)"
28-May-16,112-3173626-9894650,CA0-038-BBP,Order Payment,Amazon fees,Referral Fee on Item Price,-$1.05,,"Post-it Mobile Attach and Go Insert, 3.94 x 5.5 Inches, Includes Attach and Go Full Adhesive Notes and Flags Dispenser (PM-INSERT1)"
28-May-16,112-3173626-9894650,CA0-038-BBP,Order Payment,Product charges,,$6.99,1,"Post-it Mobile Attach and Go Insert, 3.94 x 5.5 Inches, Includes Attach and Go Full Adhesive Notes and Flags Dispenser (PM-INSERT1)"
28-May-16,102-9049955-0122648,22-Q94M-YDGP,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$4.09,,D&S Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow
28-May-16,102-9049955-0122648,22-Q94M-YDGP,Order Payment,Amazon fees,FBA Weight Handling Fee,-$3.62,,D&S Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow
28-May-16,102-9049955-0122648,22-Q94M-YDGP,Order Payment,Amazon fees,Referral Fee on Item Price,-$3.75,,D&S Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow
28-May-16,102-9049955-0122648,22-Q94M-YDGP,Order Payment,Product charges,,$24.99,1,D&S Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow
28-May-16,102-9049955-0122648,22-Q94M-YDGP,Order Payment,Promo rebates,,$0.00,1,D&S Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow
28-May-16,102-9049955-0122648,22-Q94M-YDGP,Order Payment,Promo rebates,Shipping,-$2.42,,D&S Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow
28-May-16,102-9049955-0122648,22-Q94M-YDGP,Order Payment,Other,Shipping,$2.42,,D&S Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow
28-May-16,112-5222893-8354632,0I-XXS3-8MCZ,Order Payment,Amazon fees,FBA Order Handling Fee,-$1.00,,Mental Beats Xclusive High Quality Metal Earbuds With Mic and 4' FT Cable (Gold)
28-May-16,112-5222893-8354632,0I-XXS3-8MCZ,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$1.06,,Mental Beats Xclusive High Quality Metal Earbuds With Mic and 4' FT Cable (Gold)
28-May-16,112-5222893-8354632,0I-XXS3-8MCZ,Order Payment,Amazon fees,FBA Weight Handling Fee,-$0.96,,Mental Beats Xclusive High Quality Metal Earbuds With Mic and 4' FT Cable (Gold)
28-May-16,112-5222893-8354632,0I-XXS3-8MCZ,Order Payment,Amazon fees,Referral Fee on Item Price,-$2.85,,Mental Beats Xclusive High Quality Metal Earbuds With Mic and 4' FT Cable (Gold)
28-May-16,112-5222893-8354632,0I-XXS3-8MCZ,Order Payment,Product charges,,$18.99,1,Mental Beats Xclusive High Quality Metal Earbuds With Mic and 4' FT Cable (Gold)
28-May-16,115-4285195-2777019,7W-PCJO-3BVK,Order Payment,Amazon fees,FBA Order Handling Fee,-$1.00,,Mental Beats Xpert Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Black)
28-May-16,115-4285195-2777019,7W-PCJO-3BVK,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$1.06,,Mental Beats Xpert Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Black)
28-May-16,115-4285195-2777019,7W-PCJO-3BVK,Order Payment,Amazon fees,FBA Weight Handling Fee,-$0.96,,Mental Beats Xpert Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Black)
28-May-16,115-4285195-2777019,7W-PCJO-3BVK,Order Payment,Amazon fees,Referral Fee on Item Price,-$3.75,,Mental Beats Xpert Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Black)
28-May-16,115-4285195-2777019,7W-PCJO-3BVK,Order Payment,Product charges,,$24.99,1,Mental Beats Xpert Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Black)
27-May-16,107-9932759-1623402,VG6-VKY-SRF,Order Payment,Amazon fees,FBA Order Handling Fee,-$1.00,,"Better Home New Crochet Vinyl Lace Tablecloth, 70"" Round, White"
27-May-16,107-9932759-1623402,VG6-VKY-SRF,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$1.06,,"Better Home New Crochet Vinyl Lace Tablecloth, 70"" Round, White"
27-May-16,107-9932759-1623402,VG6-VKY-SRF,Order Payment,Amazon fees,FBA Weight Handling Fee,-$1.95,,"Better Home New Crochet Vinyl Lace Tablecloth, 70"" Round, White"
27-May-16,107-9932759-1623402,VG6-VKY-SRF,Order Payment,Amazon fees,Referral Fee on Item Price,-$1.78,,"Better Home New Crochet Vinyl Lace Tablecloth, 70"" Round, White"
27-May-16,107-9932759-1623402,VG6-VKY-SRF,Order Payment,Product charges,,$11.85,1,"Better Home New Crochet Vinyl Lace Tablecloth, 70"" Round, White"
27-May-16,111-4876069-6708225,GK-51IE-0Z62,Order Payment,Amazon fees,FBA Order Handling Fee,-$1.00,,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Red)
