"Amazon fees - FBA Order Handling Fee","Amazon fees - FBA Pick & Pack Fee","Amazon fees - FBA Weight Handling Fee","Amazon fees - Referral Fee on Item Price","Amazon fees - Shipping Chargeback",Date,"Order ID",SKU,"Transaction type","Payment Type","Payment Detail",Amount,Quantity,"Product Title","Other - Shipping","Promo rebates - ","Promo rebates - Shipping","Amazon fees - FBA transportation fee","Amazon fees - Shipping commission"
,-$4.09,-$3.62,-$4.50,-$3.26,23-May-16,114-9113806-5493832,BQ-4FEP-C3OH,"Order Payment","Product charges",,$29.99,1,"D&S 18.5-Inch-by-11.5-Inch-by-3.5-Inch Contour Bamboo Memory Foam Pillow",$3.26,,,,
,,,-$3.45,,23-May-16,107-2122168-1509865,41-GI3Q-UMAK,"Order Payment","Product charges",,$22.99,1,"Geometric Style Water Resistant Printed Jumbo Canvas Beach Bag with Inner Wet Suit Pocket - Assorted Colors (Blue Squares)",,,,,
,,,-$1.50,,23-May-16,104-8001031-9377840,70-FVIS-6TNP,"Order Payment","Product charges",,$9.99,1,"Anti Slip Bathtub Shower Mat - Assorted Colors (clear)",,,,,
,,,-$1.50,,23-May-16,113-2484743-8948235,B5C-KQ1-I2Q,"Order Payment","Product charges",,$9.99,1,"La Bella Hand Carved Turkish 562 Gold/Beige 4 Feet X 6 Feet Contemporary Area Rug",,,,,
,,,-$4.50,,23-May-16,108-2483612-1357044,D4M-SO7-762,"Order Payment","Product charges",,$29.99,1,"Sunbeam Dual Shower Massager and Head Set with Rainfall Setting, Chrome",$5.54,,,,-$0.83
,,,-$2.55,,23-May-16,107-9730418-7429042,2H-FGMO-4THC,"Order Payment","Product charges",,$16.99,1,"Flocked Ultra Thin Heavy Duty Velvet Hangers (25, Forrest Green)",,,,,
,,,-$1.80,,23-May-16,102-3877905-1909803,NG-ZK8N-5OFN,"Order Payment","Product charges",,$11.99,1,"The Walking Dead Men's Lounge Pants (Small 28-30)",,,,,
,,,-$6.75,,23-May-16,111-3075162-4457837,2H-FAZS-4VMR,"Order Payment","Product charges",,$44.97,3,"17"" x 24"" Ultra Soft Memory Foam Comfort Bath Mat (Orange)",,,,,
,,,-$2.85,,23-May-16,104-9364750-6453004,HMR-UM4-V1X,"Order Payment","Product charges",,$18.99,1,"DOUBLE SWAG SHOWER CURTAIN, LINER & RINGS , Rose Pink",,,,,
-$1.00,-$1.06,-$0.96,-$1.80,-$3.60,23-May-16,114-4345704-3597042,Q0-OA97-BH2V,"Order Payment","Product charges",,$11.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )",$3.60,,,,
-$1.00,-$1.06,-$0.96,-$1.80,,23-May-16,110-8491976-5830650,GK-51IE-0Z62,"Order Payment","Product charges",,$11.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Red)",,,,,
-$1.00,-$1.06,-$0.96,-$3.00,-$3.10,23-May-16,102-1650368-1481044,32-P5XA-EGJY,"Order Payment","Product charges",,$19.99,1,"Mental Beats XCENTRICS Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord - Teal",$3.10,,,,
-$1.00,-$1.06,-$0.96,-$1.80,,23-May-16,116-4246833-4099445,GK-51IE-0Z62,"Order Payment","Product charges",,$11.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Red)",$1.84,$0.00,-$1.84,,
-$1.00,-$2.12,-$1.92,-$3.60,,22-May-16,116-2718109-4449840,Q0-OA97-BH2V,"Order Payment","Product charges",,$23.98,2,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )",,,,,
,-$4.09,-$2.84,-$3.73,,22-May-16,116-7389788-5843453,YN2-YR1-G4J,"Order Payment","Product charges",,$24.89,1,"Home Dynamix Feel At Ease Mat 24"" x 36""",,,,,
-$1.00,-$1.06,-$0.96,-$1.80,,22-May-16,106-2552848-9645052,Q0-OA97-BH2V,"Order Payment","Product charges",,$11.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )",,,,,
-$1.00,-$1.06,-$0.96,-$1.80,,22-May-16,111-1030848-0643426,Q0-OA97-BH2V,"Order Payment","Product charges",,$11.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )",,,,,
-$1.00,-$3.18,-$5.85,-$5.34,-$5.59,22-May-16,112-5963945-9961033,VG6-VKY-SRF,"Order Payment","Product charges",,$35.55,3,"Better Home New Crochet Vinyl Lace Tablecloth, 70"" Round, White",$5.59,,,,
-$1.00,-$2.12,-$8.58,-$5.10,,22-May-16,112-2535483-4609851,BX-YPD9-FBE5,"Order Payment","Product charges",,$16.99,1,"Flocked Ultra Thin Heavy Duty Velvet Hangers (25, Grey)",,,,,
-$1.00,-$1.06,-$3.51,-$1.65,,21-May-16,114-7014672-0731416,13-PAI1-IANH,"Order Payment","Product charges",,$10.99,1,"Bioworld Regular Show Mordecai Hooded Blue Backpack",,,,,
-$1.00,-$1.06,-$0.96,-$1.00,,21-May-16,114-9493031-8353844,OQ-AM1V-8KP3,"Order Payment","Product charges",,$8.99,1,"Xtreme Cables MFI 8 Pin 3ft Flat Tangle Free Sync & Charge Cable (Neon Green)",,,,,
-$1.00,-$2.12,-$3.90,-$3.56,,20-May-16,106-9659994-1641018,VG6-VKY-SRF,"Order Payment","Product charges",,$23.70,2,"Better Home New Crochet Vinyl Lace Tablecloth, 70"" Round, White",,,,,
-$1.00,-$1.06,-$4.29,-$2.55,,20-May-16,115-0061476-2921051,BX-YPD9-FBE5,"Order Payment","Product charges",,$16.99,1,"Flocked Ultra Thin Heavy Duty Velvet Hangers (25, Grey)",$0.89,$0.00,-$0.89,,
-$1.00,-$1.06,-$4.29,-$2.55,,20-May-16,103-1172376-9542600,BX-YPD9-FBE5,"Order Payment","Product charges",,$16.99,1,"Flocked Ultra Thin Heavy Duty Velvet Hangers (25, Grey)",,$0.00,,,
,,,-$3.60,,20-May-16,111-1241263-0648227,48G-DZ2-8HT,"Order Payment","Product charges",,$23.98,2,"Better Home Xlarge Fabric Waterproof Washing Machine Cover with Zippered Top Material Appliance (Chocolate Brown)",,,,,
,,,-$3.60,,20-May-16,111-7439001-0035443,48G-DZ2-8HT,"Order Payment","Product charges",,$23.98,2,"Better Home Xlarge Fabric Waterproof Washing Machine Cover with Zippered Top Material Appliance (Chocolate Brown)",,,,,
-$1.00,-$1.06,-$0.96,-$3.00,-$8.99,19-May-16,113-2989573-4575423,3G-5P9S-KWAT,"Order Payment","Product charges",,$19.99,1,"Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Silver)",$8.99,,,,
-$1.00,-$1.06,-$3.51,-$1.65,,19-May-16,114-6844018-7883418,13-PAI1-IANH,"Order Payment","Product charges",,$10.99,1,"Regular Show Mordecai Hooded Blue Backpack",,,,,
-$1.00,-$1.06,-$0.96,-$3.00,,19-May-16,105-8956012-8853054,32-P5XA-EGJY,"Order Payment","Product charges",,$19.99,1,"Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (teal)",,,,,
-$1.00,-$1.06,-$0.96,-$1.80,,19-May-16,110-3836529-5697061,Q0-OA97-BH2V,"Order Payment","Product charges",,$11.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )",$1.84,$0.00,-$1.84,,
,-$4.09,-$3.62,-$4.50,,19-May-16,113-7188590-6015462,BQ-4FEP-C3OH,"Order Payment","Product charges",,$29.99,1,"D&S 18.5-Inch-by-11.5-Inch-by-3.5-Inch Contour Bamboo Memory Foam Pillow",$3.25,$0.00,-$3.25,,
,,,-$3.30,,19-May-16,108-9870798-0492259,0EG-MVI-G9E,"Order Payment","Product charges",,$21.97,1,"Elegant Comfort Penelopie Jacquard Look Curtain Panels, 54 by 84-Inch, Sage Green, Set of 2",,,,,
,,,-$2.25,,19-May-16,106-6259651-7684254,I4O-1YB-0MA,"Order Payment","Product charges",,$14.99,1,"Sterlite Medium Size Sink Dish Rack Drainer (White)",,,,,
,,,-$8.25,,19-May-16,107-5737348-5988245,VO6-KH8-U2Q,"Order Payment","Product charges",,$54.99,1,"Oster 8-Speed Blender",,,,,
,,,-$1.80,,19-May-16,002-0755139-0596259,HF-9IBQ-XI17,"Order Payment","Product charges",,$11.99,1,"Heavy Duty Window Clear Vinyl Tabel Cover (70"" Round)",,,,,
-$1.00,-$5.30,-$9.75,-$8.90,-$19.95,18-May-16,112-8094756-0441820,VG6-VKY-SRF,"Order Payment","Product charges",,$11.85,1,"Better Home New Crochet Vinyl Lace Tablecloth, 70"" Round, White",$19.95,,,,
-$1.00,-$1.06,-$1.95,-$1.78,,18-May-16,106-7273518-2789834,VG6-VKY-SRF,"Order Payment","Product charges",,$11.85,1,"Better Home New Crochet Vinyl Lace Tablecloth, 70"" Round, White",,,,,
-$1.00,-$1.06,-$0.50,-$1.05,,18-May-16,115-0408073-2501809,CA0-038-BBP,"Order Payment","Product charges",,$6.99,1,"Post-it Mobile Attach and Go Insert, 3.94 x 5.5 Inches, Includes Attach and Go Full Adhesive Notes and Flags Dispenser (PM-INSERT1)",,,,,
,-$8.18,-$7.24,-$9.00,-$7.89,18-May-16,103-0005006-4307409,22-Q94M-YDGP,"Order Payment","Product charges",,$29.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow",$7.89,,,,
,-$4.09,-$3.62,-$3.73,,18-May-16,113-4942438-8888239,CSL-662-M1T,"Order Payment","Product charges",,$24.89,1,"Feel At Ease Mat 24 x 36 - Espresso",,,,,
,-$4.09,-$3.62,-$4.50,,18-May-16,114-0890396-4289849,22-Q94M-YDGP,"Order Payment","Product charges",,$29.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow",,,,,
,,,-$3.00,,18-May-16,112-0825735-4404201,L92-BHR-TUY,"Order Payment","Product charges",,$19.96,2,"Double Swag Blue Shower Curtain With Vinyl Liner, Fabric Cover Rings, 100% Polyester Size 70x72",,,,,
,,,-$0.60,,18-May-16,105-6701892-9112219,9G-CDVH-T2B4,"Order Payment","Product charges",,$3.97,1,"DecoPac How to Train Your Dragon 2 Hiccup and Friends Cupcake Rings (12 Count)",$4.50,,,,-$0.67
,,,-$3.30,,18-May-16,102-1420492-0689818,0EG-MVI-G9E,"Order Payment","Product charges",,$21.97,1,"Elegant Comfort Penelopie Jacquard Look Curtain Panels, 54 by 84-Inch, Sage Green, Set of 2",,,,,
,,,-$2.85,,18-May-16,108-2613698-6943412,SUA-790-PPK,"Order Payment","Product charges",,$18.99,1,"Double Swag Shower Curtain With Liner Set, Taupe (Tan), 70x72",,,,,
,,,-$2.85,,18-May-16,114-4903211-2684204,SUA-790-PPK,"Order Payment","Product charges",,$18.99,1,"Double Swag Shower Curtain With Liner Set, Taupe (Tan), 70x72",,,,,
