Date,Order ID,SKU,Transaction type,Payment Type,Payment Detail,Amount,Quantity,Product Title
27-Jun-16,106-1107365-6235446,22-Q94M-YDGP,Order Payment,Amazon fees,FBA Weight Handling Fee,-$3.62,,D&S Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow
27-Jun-16,106-1107365-6235446,22-Q94M-YDGP,Order Payment,Amazon fees,Referral Fee on Item Price,-$3.75,,D&S Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow
27-Jun-16,106-1107365-6235446,22-Q94M-YDGP,Order Payment,Product charges,,$24.99,1,D&S Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow
27-Jun-16,112-2982696-1042602,796-O5Z-5NP,Order Payment,Amazon fees,FBA Order Handling Fee,-$1.00,,1 Ball 64oz Wide Mouth Half Gallon Mason Jar
27-Jun-16,112-2982696-1042602,796-O5Z-5NP,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$4.24,,1 Ball 64oz Wide Mouth Half Gallon Mason Jar
27-Jun-16,112-2982696-1042602,796-O5Z-5NP,Order Payment,Amazon fees,FBA Weight Handling Fee,-$10.92,,1 Ball 64oz Wide Mouth Half Gallon Mason Jar
27-Jun-16,112-2982696-1042602,796-O5Z-5NP,Order Payment,Amazon fees,Referral Fee on Item Price,-$6.32,,1 Ball 64oz Wide Mouth Half Gallon Mason Jar
27-Jun-16,112-2982696-1042602,796-O5Z-5NP,Order Payment,Amazon fees,Shipping Chargeback,-$27.96,,1 Ball 64oz Wide Mouth Half Gallon Mason Jar
27-Jun-16,112-2982696-1042602,796-O5Z-5NP,Order Payment,Product charges,,$10.50,1,1 Ball 64oz Wide Mouth Half Gallon Mason Jar
27-Jun-16,112-2982696-1042602,796-O5Z-5NP,Order Payment,Product charges,,$10.50,1,1 Ball 64oz Wide Mouth Half Gallon Mason Jar
27-Jun-16,112-2982696-1042602,796-O5Z-5NP,Order Payment,Product charges,,$21.00,2,1 Ball 64oz Wide Mouth Half Gallon Mason Jar
27-Jun-16,112-2982696-1042602,796-O5Z-5NP,Order Payment,Other,Shipping,$27.96,,1 Ball 64oz Wide Mouth Half Gallon Mason Jar
27-Jun-16,115-9167453-8966650,LA-WNVM-684G,Order Payment,Amazon fees,FBA Order Handling Fee,-$1.00,,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / White)
27-Jun-16,115-9167453-8966650,LA-WNVM-684G,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$1.06,,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / White)
27-Jun-16,115-9167453-8966650,LA-WNVM-684G,Order Payment,Amazon fees,FBA Weight Handling Fee,-$0.96,,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / White)
27-Jun-16,115-9167453-8966650,LA-WNVM-684G,Order Payment,Amazon fees,Referral Fee on Item Price,-$1.65,,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / White)
27-Jun-16,115-9167453-8966650,LA-WNVM-684G,Order Payment,Product charges,,$10.99,1,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / White)
27-Jun-16,116-5479100-8557823,Q0-OA97-BH2V,Order Payment,Amazon fees,FBA Order Handling Fee,-$1.00,,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )
27-Jun-16,116-5479100-8557823,Q0-OA97-BH2V,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$1.06,,Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )
