"Amazon fees - FBA Order Handling Fee","Amazon fees - FBA Pick & Pack Fee","Amazon fees - FBA Weight Handling Fee","Amazon fees - Referral Fee on Item Price",Date,"Order ID",SKU,"Transaction type","Payment Type","Payment Detail",Amount,Quantity,"Product Title","Amazon fees - Shipping Chargeback","Other - Shipping","Promo rebates - ","Promo rebates - Shipping","Amazon fees - FBA transportation fee","Amazon fees - Shipping commission"
,,,-$3.00,25-Jun-16,107-6312361-8581017,7WF-F8A-YGP,"Order Payment","Product charges",,$13.77,3,"Suit Bag, Zippered, Clear Plastic, 24"" x 40""",,,,,,
,,,-$1.20,25-Jun-16,115-0354787-3728248,NC-MU4S-M0SS,"Order Payment","Product charges",,$7.99,1,"Cuispro Snap-Fit Pop Molds: 6 Rocket and 6 Boat shapes",,,,,,
,,,-$2.25,25-Jun-16,105-4497955-1095410,L9O-HV2-209,"Order Payment","Product charges",,$14.99,1,"Home Basics Over the Counter Hairdryer Holder",,,,,,
-$1.00,-$1.06,-$0.50,-$1.05,24-Jun-16,112-5101604-6617066,CA0-038-BBP,"Order Payment","Product charges",,$6.99,1,"Post-it Mobile Attach and Go Insert, 3.94 x 5.5 Inches, Includes Attach and Go Full Adhesive Notes and Flags Dispenser (PM-INSERT1)",,,,,,
-$1.00,-$1.06,-$0.96,-$1.65,24-Jun-16,111-6449485-8089041,Q0-OA97-BH2V,"Order Payment","Product charges",,$10.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )",,,,,,
,-$4.09,-$3.62,-$3.75,23-Jun-16,111-2332713-4242655,22-Q94M-YDGP,"Order Payment","Product charges",,$24.99,1,"D&S Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow",,,,,,
-$4.75,-$0.75,,,,,,,,,,,,,,,,-$0.45,
,-$4.09,-$3.62,-$3.75,23-Jun-16,116-9175340-2621862,22-Q94M-YDGP,"Order Payment","Product charges",,$24.99,1,"D&S Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow",,,,,,
-$1.00,-$1.06,-$2.73,-$2.55,23-Jun-16,114-6730008-9975406,UU-16UH-0B7T,"Order Payment","Product charges",,$16.99,1,"Flocked Ultra Thin Heavy Duty Velvet Hangers (25, Black)",,,,,,
-$4.75,-$1.50,,,,,,,,,,,,,,,,-$0.45,
-$1.00,-$1.06,-$0.96,-$1.65,23-Jun-16,108-5080068-6460227,Q0-OA97-BH2V,"Order Payment","Product charges",,$10.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )",,,,,,
-$1.00,-$9.54,-$17.55,-$16.02,23-Jun-16,114-1790090-8913837,VG6-VKY-SRF,"Order Payment","Product charges",,$106.65,9,"Better Home New Crochet Vinyl Lace Tablecloth, 70"" Round, White",,,,,,
-$1.00,-$2.12,-$3.90,-$3.56,23-Jun-16,104-1745335-4417009,VG6-VKY-SRF,"Order Payment","Product charges",,$23.70,2,"Better Home New Crochet Vinyl Lace Tablecloth, 70"" Round, White",,,,,,
-$1.00,-$1.06,-$0.96,-$1.50,23-Jun-16,116-6640280-0545030,6T3-1R4-UX4,"Order Payment","Product charges",,$9.99,1,"Superman Lunch Bag ( Man of Steel Movie )",-$2.30,$2.30,,,,
-$1.00,-$1.06,-$0.96,-$1.65,23-Jun-16,104-0718206-6406661,Q0-OA97-BH2V,"Order Payment","Product charges",,$10.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )",,,,,,
,,,-$2.25,23-Jun-16,104-0034160-3353076,914-AKS-SJ7,"Order Payment","Product charges",,$14.99,1,"Brita Sport Water Filter Bottle, Twin Pack, Blue and Violet, 20 Ounce",,,,,,
-$1.00,-$1.06,-$1.95,-$1.78,23-Jun-16,103-3779573-6372267,VG6-VKY-SRF,"Order Payment","Product charges",,$11.85,1,"Better Home New Crochet Vinyl Lace Tablecloth, 70"" Round, White",,,,,,
-$1.00,-$1.06,-$0.96,-$3.00,23-Jun-16,002-0531088-6469842,MD-86QZ-5W4G,"Order Payment","Product charges",,$19.99,1,"Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Blue)",,,,,,
-$1.00,-$1.06,-$0.96,-$1.65,22-Jun-16,110-7211419-2339403,CM-W5HY-8L8C,"Order Payment","Product charges",,$10.99,1,"Bioworld Adventure Time Mountain Cinch Bag 13"", Blue/White",,,,,,
-$1.00,-$1.06,-$1.95,-$2.10,22-Jun-16,110-4991562-9433822,54-2OXZ-UCFP,"Order Payment","Product charges",,$13.99,1,"Heavy Duty Flexible Steel 5' Foot 10,000 Word Combination Cabled Bike Lock (Blue)",,,$0.00,,,
-$1.00,-$1.06,-$2.34,-$1.65,22-Jun-16,114-6848928-5869057,0W-I967-F2HV,"Order Payment","Product charges",,$10.99,1,"Flocked Ultra Thin Heavy Duty Velvet Hangers (10, Forrest Green)",,,,,,
-$1.00,-$2.12,-$1.92,-$3.30,22-Jun-16,111-4162988-5472210,GK-51IE-0Z62,"Order Payment","Product charges",,$21.98,2,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Red)",,,,,,
-$1.00,-$5.30,-$11.70,-$8.25,22-Jun-16,108-1571218-3494658,0W-I967-F2HV,"Order Payment","Product charges",,$10.99,1,"Flocked Ultra Thin Heavy Duty Velvet Hangers (10, Forrest Green)",,,,,,
-$1.00,-$1.06,-$0.96,-$3.75,22-Jun-16,114-2406070-1845024,7W-PCJM-3BVK,"Order Payment","Product charges",,$24.99,1,"Mental Beats Xpert Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Red)",,,,,,
-$1.00,-$1.06,-$0.96,-$1.65,22-Jun-16,113-5262285-7977032,Q0-OA97-BH2V,"Order Payment","Product charges",,$10.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Silver )",,,,,,
-$1.00,-$1.06,-$0.96,-$1.65,22-Jun-16,111-6714247-1369830,GK-51IE-0Z62,"Order Payment","Product charges",,$10.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Red)",-$5.99,$5.99,,,,
-$1.00,-$1.06,-$0.96,-$1.65,21-Jun-16,103-4627102-0597044,GK-51IE-0Z62,"Order Payment","Product charges",,$10.99,1,"Mental Beats Car Mount Dashboard and Windshield Phone Holder Car Accessories Universal for all Smartphones (Black / Red)",,,,,,
,-$4.09,-$2.45,-$1.50,21-Jun-16,109-4626223-0089830,A7A-6FG-MTL,"Order Payment","Product charges",,$9.99,1,"CHECK BOARD HALF MOON SLICE RUG - GREEN",,,,,,
