"Amazon fees - FBA Order Handling Fee","Amazon fees - FBA Pick & Pack Fee","Amazon fees - FBA Weight Handling Fee","Amazon fees - Referral Fee on Item Price",Date,"Order ID",SKU,"Transaction type","Payment Type","Payment Detail",Amount,Quantity,"Product Title","Amazon fees - FBA transportation fee","Amazon fees - Shipping Chargeback","Other - Shipping","Promo rebates - ","Amazon fees - Shipping commission","Promo rebates - Shipping"
,-$4.09,-$3.62,-$4.50,14-Apr-16,111-8154218-2074654,22-Q94M-YDGP,"Order Payment","Product charges",,$29.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow",,,,,,
,-$4.09,-$3.62,-$4.50,13-Apr-16,106-4870555-0285811,22-Q94M-YDGP,"Order Payment","Product charges",,$29.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow",,,,,,
-$1.00,-$1.06,-$0.96,-$2.55,13-Apr-16,002-2594876-4319437,BX-YPD9-FBE5,"Order Payment","Product charges",,$16.99,1,"Flocked Ultra Thin Heavy Duty Velvet Hangers (25, Grey)",,,,,,
,-$4.09,-$3.62,-$4.50,13-Apr-16,112-9257509-1099430,BQ-4FEP-C3OH,"Order Payment","Product charges",,$29.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,-$3.99,$3.99,,,
,,,-$7.50,13-Apr-16,103-0285446-8858631,VO6-KH8-U2Q,"Order Payment","Product charges",,$49.99,1,"Oster 8-Speed Blender",,,,,,
,-$4.09,-$4.01,-$6.00,13-Apr-16,112-1783078-8033856,3Y-2VGV-AZ21,"Order Payment","Product charges",,$39.99,1,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",,,,,,
,,,-$2.55,13-Apr-16,114-3404032-7843416,2H-FGMO-4THC,"Order Payment","Product charges",,$16.99,1,"Flocked Ultra Thin Heavy Duty Velvet Hangers (25, Forrest Green)",,,,,,
,,,-$1.00,13-Apr-16,115-6036581-9785859,NC-MU4S-M0SS,"Order Payment","Product charges",,$5.99,1,"Cuispro Snap-Fit Pop Molds: 6 Rocket and 6 Boat shapes",,,,,,
,-$4.09,-$3.62,-$4.50,13-Apr-16,002-3387262-1504246,BQ-4FEP-C3OH,"Order Payment","Product charges",,$29.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,-$7.19,$7.19,,,
,-$4.09,-$3.62,-$4.50,13-Apr-16,103-2077608-4477803,BQ-4FEP-C3OH,"Order Payment","Product charges",,$29.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,
,-$4.09,-$3.62,-$4.50,13-Apr-16,002-2775859-6889855,BQ-4FEP-C3OH,"Order Payment","Product charges",,$29.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,
-$1.00,-$1.06,-$0.96,-$1.34,12-Apr-16,111-2314124-5179436,FV-XXFT-7P69,"Order Payment","Product charges",,$8.95,1,"My Little Pony Soft Tote Lunch Box",,,,,,
,-$4.09,-$3.62,-$4.50,12-Apr-16,113-1834041-2205844,BQ-4FEP-C3OH,"Order Payment","Product charges",,$29.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,$3.24,$0.00,,-$3.24
-$1.00,-$1.06,-$0.96,-$3.00,12-Apr-16,106-2626540-9573856,3G-5P9S-KWAT,"Order Payment","Product charges",,$19.99,1,"Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Silver)",,,,,,
,-$4.09,-$3.62,-$4.50,12-Apr-16,112-8554539-7298658,BQ-4FEP-C3OH,"Order Payment","Product charges",,$29.99,1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,
,-$8.18,-$8.02,-$12.00,12-Apr-16,105-0795528-6400223,3Y-2VGV-AZ21,"Order Payment","Product charges",,$79.98,2,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",,,,,,
,-$4.09,-$4.01,-$6.00,12-Apr-16,116-1674871-5299462,3Y-2VGV-AZ21,"Order Payment","Product charges",,$39.99,1,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow",,,,,,
-$1.00,-$1.06,-$0.96,-$3.75,12-Apr-16,114-0912233-1502657,7W-PCJO-3BVK,"Order Payment","Product charges",,$24.99,1,"Mental Beats Xpert Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Black)",,,,,,
-$1.00,-$2.12,-$4.29,-$3.30,12-Apr-16,102-1393247-8855457,0W-I967-F2HV,"Order Payment","Product charges",,$10.99,1,"Flocked Ultra Thin Heavy Duty Velvet Hangers (10, Forrest Green)",,,,,,
,-$4.09,-$3.62,-$4.50,12-Apr-16,111-8136600-2798613,22-Q94M-YDGP,"Order Payment","Product charges",,$29.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",,,,,,
,-$4.09,-$3.62,-$4.50,12-Apr-16,106-1277920-0791462,22-Q94M-YDGP,"Order Payment","Product charges",,$29.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow",,,,,,
-$4.75,-$0.75,,,,,,,,,,,,-$0.45,,,,,
-$4.75,-$0.75,,,,,,,,,,,,-$0.45,,,,,
,-$4.09,-$8.69,-$7.05,12-Apr-16,114-0521579-9366606,IM-VFRS-GRIO,"Order Payment","Product charges",,$46.99,1,"Humanscale Zon Air Purifier in Red",,,,,,
,-$8.18,-$7.24,-$9.00,12-Apr-16,111-5157799-1432206,22-Q94M-YDGP,"Order Payment","Product charges",,$29.99,1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Cool Ultra Soft Pillow",,,,,,
,,,-$1.50,12-Apr-16,106-1354958-4717803,70-FVIS-6TNP,"Order Payment","Product charges",,$9.99,1,"Anti Slip Bathtub Shower Mat - Assorted Colors (clear)",,,,,,
