"Amazon fees - FBA Order Handling Fee","Amazon fees - FBA Pick & Pack Fee","Amazon fees - FBA Weight Handling Fee","Amazon fees - Referral Fee on Item Price",Date,"Order ID",SKU,"Transaction type","Payment Type","Payment Detail",Amount,Quantity,"Product Title","Amazon fees - Shipping Chargeback","Other - Shipping","Promo rebates - ","Amazon fees - FBA Amazon-Partnered Carrier Shipment Fee","Amazon fees - Subscription Fee","Promo rebates - Shipping","Amazon fees - Refund Administration Fee","FBA Inventory Reimbursement - Damaged:Warehouse - ","Amazon fees - FBA transportation fee","FBA Inventory Reimbursement - Lost:Warehouse - ","Amazon fees - Shipping commission","Amazon fees - FBA Inventory Storage Fee","Amazon fees - FBA Removal Order: Return Fee"
,-$4.09,-$3.62,-$3.00,21-Mar-16,102-7416906-0941808,BQ-4FEP-C3OH,"Order Payment","Product charges",,"$19.99 ",1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
-$1.00,-$1.06,-$0.96,-$2.55,21-Mar-16,104-9688974-9701807,BX-YPD9-FBE5,"Order Payment","Product charges",,"$16.99 ",1,"Flocked Ultra Thin Heavy Duty Velvet Hangers (25, Grey)",,,,,,,,,,,,,
-$1.00,-$1.06,-$0.96,-$3.00,21-Mar-16,113-3281153-7285816,32-P5XA-EGJY,"Order Payment","Product charges",,"$19.99 ",1,"Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (teal)",,,,,,,,,,,,,
,-$4.09,-$3.62,-$3.00,21-Mar-16,115-8845843-2981056,BQ-4FEP-C3OH,"Order Payment","Product charges",,"$19.99 ",1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
,-$4.09,-$3.62,-$3.00,21-Mar-16,102-0331191-1266660,BQ-4FEP-C3OH,"Order Payment","Product charges",,"$19.99 ",1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
,,,-$3.00,21-Mar-16,112-6491716-0266618,BM-FTJM-SGD0,"Order Payment","Product charges",,"$19.99 ",1,"4 pack: High Grade Ceramic Coffee Mugs",,,,,,,,,,,,,
-$1.00,-$1.06,-$0.96,-$1.87,21-Mar-16,111-4178895-7674651,7W-PCJM-3BVK,"Order Payment","Product charges",,"$24.99 ",1,"Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Red)",,,-$12.50,,,,,,,,,,
,-$4.09,-$3.62,-$3.75,21-Mar-16,110-2785397-3504265,22-Q94M-YDGP,"Order Payment","Product charges",,"$24.99 ",1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",,,,,,,,,,,,,
,-$4.09,-$3.62,-$3.75,21-Mar-16,110-1444662-6159412,22-Q94M-YDGP,"Order Payment","Product charges",,"$24.99 ",1,"Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow",,"$3.15 ","$0.00 ",,,-$3.15,,,,,,,
-$1.00,-$1.06,-$0.96,-$1.50,21-Mar-16,111-7536336-6109813,MD-86QZ-5W4G,"Order Payment","Product charges",,"$19.99 ",1,"Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Blue)",,,-$10.00,,,,,,,,,,
,-$4.09,-$3.62,-$3.00,21-Mar-16,112-4110059-4302658,BQ-4FEP-C3OH,"Order Payment","Product charges",,"$19.99 ",1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
-$1.00,-$1.06,-$0.96,-$1.87,21-Mar-16,106-2755912-3963406,7W-PCJM-3BVK,"Order Payment","Product charges",,"$24.99 ",1,"Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Red)",,,-$12.50,,,,,,,,,,
-$1.00,-$1.06,-$0.96,-$1.50,20-Mar-16,105-0968985-2741001,CW-OXZZ-VE7M,"Order Payment","Product charges",,"$19.99 ",1,"Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Green)",,,-$10.00,,,,,,,,,,
,-$4.09,-$3.62,-$3.00,20-Mar-16,112-1047741-5257047,BQ-4FEP-C3OH,"Order Payment","Product charges",,"$19.99 ",1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
,-$4.09,-$3.62,-$3.00,20-Mar-16,111-6291427-5329065,BQ-4FEP-C3OH,"Order Payment","Product charges",,"$19.99 ",1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,,,,,,,,,,,
,-$4.09,-$3.62,-$1.50,20-Mar-16,002-7670210-5106617,BQ-4FEP-C3OH,"Order Payment","Product charges",,"$19.99 ",1,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches",,,-$10.00,,,,,,,,,,
