Date,Order ID,SKU,Transaction type,Payment Type,Payment Detail,Amount,Quantity,Product Title
31-Mar-16,108-2623617-8785816,HC-FNLT-DTIH,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$1.06,,"Mental Beats ICON High Quality Earbuds with 4' FT Tangle Free Cable with Mic (Blue,)"
31-Mar-16,108-2623617-8785816,HC-FNLT-DTIH,Order Payment,Amazon fees,FBA Weight Handling Fee,-$0.96,,"Mental Beats ICON High Quality Earbuds with 4' FT Tangle Free Cable with Mic (Blue,)"
31-Mar-16,108-2623617-8785816,HC-FNLT-DTIH,Order Payment,Amazon fees,Referral Fee on Item Price,-$1.80,,"Mental Beats ICON High Quality Earbuds with 4' FT Tangle Free Cable with Mic (Blue,)"
31-Mar-16,108-2623617-8785816,HC-FNLT-DTIH,Order Payment,Product charges,,$11.99,1,"Mental Beats ICON High Quality Earbuds with 4' FT Tangle Free Cable with Mic (Blue,)"
31-Mar-16,107-3408687-8731410,22-Q94M-YDGP,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$4.09,,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
31-Mar-16,107-3408687-8731410,22-Q94M-YDGP,Order Payment,Amazon fees,FBA Weight Handling Fee,-$3.62,,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
31-Mar-16,107-3408687-8731410,22-Q94M-YDGP,Order Payment,Amazon fees,Referral Fee on Item Price,-$4.50,,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
31-Mar-16,107-3408687-8731410,22-Q94M-YDGP,Order Payment,Product charges,,$29.99,1,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
31-Mar-16,103-7325158-4465035,BQ-4FEP-C3OH,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$4.09,,Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches
31-Mar-16,103-7325158-4465035,BQ-4FEP-C3OH,Order Payment,Amazon fees,FBA Weight Handling Fee,-$3.62,,Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches
31-Mar-16,103-7325158-4465035,BQ-4FEP-C3OH,Order Payment,Amazon fees,Referral Fee on Item Price,-$3.75,,Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches
31-Mar-16,103-7325158-4465035,BQ-4FEP-C3OH,Order Payment,Product charges,,$24.99,1,Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches
31-Mar-16,103-7325158-4465035,BQ-4FEP-C3OH,Order Payment,Promo rebates,,$0.00,1,Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches
31-Mar-16,103-7325158-4465035,BQ-4FEP-C3OH,Order Payment,Promo rebates,Shipping,-$1.57,,Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches
31-Mar-16,103-7325158-4465035,BQ-4FEP-C3OH,Order Payment,Other,Shipping,$1.57,,Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches
31-Mar-16,110-1337457-3512231,22-Q94M-YDGP,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$8.18,,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
31-Mar-16,110-1337457-3512231,22-Q94M-YDGP,Order Payment,Amazon fees,FBA Weight Handling Fee,-$7.24,,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
31-Mar-16,110-1337457-3512231,22-Q94M-YDGP,Order Payment,Amazon fees,Referral Fee on Item Price,-$9.00,,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
31-Mar-16,110-1337457-3512231,22-Q94M-YDGP,Order Payment,Amazon fees,Shipping Chargeback,-$8.10,,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
31-Mar-16,110-1337457-3512231,22-Q94M-YDGP,Order Payment,Product charges,,$59.98,2,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
31-Mar-16,110-1337457-3512231,22-Q94M-YDGP,Order Payment,Other,Shipping,$8.10,,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
31-Mar-16,103-7423178-5734609,3Y-2VGV-AZ21,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$4.09,,Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow
31-Mar-16,103-7423178-5734609,3Y-2VGV-AZ21,Order Payment,Amazon fees,FBA Weight Handling Fee,-$4.01,,Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow
31-Mar-16,103-7423178-5734609,3Y-2VGV-AZ21,Order Payment,Amazon fees,Referral Fee on Item Price,-$2.25,,Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow
31-Mar-16,103-7423178-5734609,3Y-2VGV-AZ21,Order Payment,Product charges,,$29.99,1,Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow
31-Mar-16,103-7423178-5734609,3Y-2VGV-AZ21,Order Payment,Promo rebates,,$0.00,1,Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow
31-Mar-16,103-7423178-5734609,3Y-2VGV-AZ21,Order Payment,Promo rebates,,-$15.00,1,Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow
31-Mar-16,116-5922746-3453023,3Y-2VGV-AZ21,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$4.09,,Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow
31-Mar-16,116-5922746-3453023,3Y-2VGV-AZ21,Order Payment,Amazon fees,FBA Weight Handling Fee,-$4.01,,Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow
31-Mar-16,116-5922746-3453023,3Y-2VGV-AZ21,Order Payment,Amazon fees,Referral Fee on Item Price,-$2.62,,Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow
31-Mar-16,116-5922746-3453023,3Y-2VGV-AZ21,Order Payment,Product charges,,$34.99,1,Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow
31-Mar-16,116-5922746-3453023,3Y-2VGV-AZ21,Order Payment,Promo rebates,,-$17.50,1,Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow
30-Mar-16,106-8781615-3757005,22-Q94M-YDGP,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$4.09,,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
30-Mar-16,106-8781615-3757005,22-Q94M-YDGP,Order Payment,Amazon fees,FBA Weight Handling Fee,-$3.62,,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
30-Mar-16,106-8781615-3757005,22-Q94M-YDGP,Order Payment,Amazon fees,Referral Fee on Item Price,-$4.50,,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
30-Mar-16,106-8781615-3757005,22-Q94M-YDGP,Order Payment,Product charges,,$29.99,1,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
30-Mar-16,106-8781615-3757005,22-Q94M-YDGP,Order Payment,Promo rebates,,$0.00,1,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
30-Mar-16,106-8781615-3757005,22-Q94M-YDGP,Order Payment,Promo rebates,Shipping,-$3.36,,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
30-Mar-16,106-8781615-3757005,22-Q94M-YDGP,Order Payment,Other,Shipping,$3.36,,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
30-Mar-16,103-6853221-8743423,22-Q94M-YDGP,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$4.09,,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
30-Mar-16,103-6853221-8743423,22-Q94M-YDGP,Order Payment,Amazon fees,FBA Weight Handling Fee,-$3.62,,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
30-Mar-16,103-6853221-8743423,22-Q94M-YDGP,Order Payment,Amazon fees,Referral Fee on Item Price,-$4.50,,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
30-Mar-16,103-6853221-8743423,22-Q94M-YDGP,Order Payment,Product charges,,$29.99,1,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
30-Mar-16,113-7070784-8835453,3Y-2VGV-AZ21,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$4.09,,Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow
30-Mar-16,113-7070784-8835453,3Y-2VGV-AZ21,Order Payment,Amazon fees,FBA Weight Handling Fee,-$4.01,,Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow
30-Mar-16,113-7070784-8835453,3Y-2VGV-AZ21,Order Payment,Amazon fees,Referral Fee on Item Price,-$2.62,,Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow
30-Mar-16,113-7070784-8835453,3Y-2VGV-AZ21,Order Payment,Product charges,,$34.99,1,Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow
30-Mar-16,113-7070784-8835453,3Y-2VGV-AZ21,Order Payment,Promo rebates,,-$17.50,1,Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow
30-Mar-16,002-2552908-3081013,7W-PCJO-3BVK,Order Payment,Amazon fees,FBA Order Handling Fee,-$1.00,,Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Black)
30-Mar-16,002-2552908-3081013,7W-PCJO-3BVK,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$1.06,,Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Black)
30-Mar-16,002-2552908-3081013,7W-PCJO-3BVK,Order Payment,Amazon fees,FBA Weight Handling Fee,-$0.96,,Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Black)
30-Mar-16,002-2552908-3081013,7W-PCJO-3BVK,Order Payment,Amazon fees,Referral Fee on Item Price,-$3.75,,Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Black)
30-Mar-16,002-2552908-3081013,7W-PCJO-3BVK,Order Payment,Product charges,,$24.99,1,Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Black)
30-Mar-16,103-9484612-0397039,IM-VFRS-GRIO,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$4.09,,Humanscale Zon Air Purifier in Red
30-Mar-16,103-9484612-0397039,IM-VFRS-GRIO,Order Payment,Amazon fees,FBA Weight Handling Fee,-$8.69,,Humanscale Zon Air Purifier in Red
30-Mar-16,103-9484612-0397039,IM-VFRS-GRIO,Order Payment,Amazon fees,Referral Fee on Item Price,-$7.05,,Humanscale Zon Air Purifier in Red
30-Mar-16,103-9484612-0397039,IM-VFRS-GRIO,Order Payment,Product charges,,$46.99,1,Humanscale Zon Air Purifier in Red
30-Mar-16,116-3163226-4481809,22-Q94M-YDGP,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$4.09,,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
30-Mar-16,116-3163226-4481809,22-Q94M-YDGP,Order Payment,Amazon fees,FBA Weight Handling Fee,-$3.62,,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
30-Mar-16,116-3163226-4481809,22-Q94M-YDGP,Order Payment,Amazon fees,Referral Fee on Item Price,-$4.50,,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
30-Mar-16,116-3163226-4481809,22-Q94M-YDGP,Order Payment,Product charges,,$29.99,1,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
30-Mar-16,116-3163226-4481809,22-Q94M-YDGP,Order Payment,Promo rebates,,$0.00,1,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
30-Mar-16,116-3163226-4481809,22-Q94M-YDGP,Order Payment,Promo rebates,Shipping,-$2.18,,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
30-Mar-16,116-3163226-4481809,22-Q94M-YDGP,Order Payment,Other,Shipping,$2.18,,Infused Cool Gel Ventilated Core Hypoallergenic MEMORY FOAM Pillow - Standard Ultra Soft Pillow
30-Mar-16,002-7396637-9529834,CW-OXZZ-VE7M,Order Payment,Amazon fees,FBA Order Handling Fee,-$1.00,,Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Green)
30-Mar-16,002-7396637-9529834,CW-OXZZ-VE7M,Order Payment,Amazon fees,FBA Pick & Pack Fee,-$1.06,,Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Green)
30-Mar-16,002-7396637-9529834,CW-OXZZ-VE7M,Order Payment,Amazon fees,FBA Weight Handling Fee,-$0.96,,Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Green)
30-Mar-16,002-7396637-9529834,CW-OXZZ-VE7M,Order Payment,Amazon fees,Referral Fee on Item Price,-$3.00,,Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Green)
30-Mar-16,002-7396637-9529834,CW-OXZZ-VE7M,Order Payment,Product charges,,$19.99,1,Mental Beats Xcentric Earbuds with Metal Mic Includes Tangle Free Flatwire Cord (Green)
