"Date","Order ID","SKU","Transaction type","Payment Type","Payment Detail","Amount",,"Quantity","Product Title"
"27-Mar-16","106-1794776-5473054","2O-P69W-826P","Order Payment","Amazon fees","FBA Weight Handling Fee","($2.34)",,,"Guardmax - Waterproof Mattress Protector Cover - Fitted Style - Quiet! - Twin Size (39""x75"") - Skirt Stretches to 16""!"
"27-Mar-16","106-1794776-5473054","2O-P69W-826P","Order Payment","Amazon fees","Referral Fee on Item Price","($2.55)",,,"Guardmax - Waterproof Mattress Protector Cover - Fitted Style - Quiet! - Twin Size (39""x75"") - Skirt Stretches to 16""!"
"27-Mar-16","106-1794776-5473054","2O-P69W-826P","Order Payment","Product charges",,"$16.99 ",,"1","Guardmax - Waterproof Mattress Protector Cover - Fitted Style - Quiet! - Twin Size (39""x75"") - Skirt Stretches to 16""!"
"27-Mar-16","114-5324565-9474629","BQ-4FEP-C3OH","Order Payment","Amazon fees","FBA Pick & Pack Fee","($4.09)",,,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"27-Mar-16","114-5324565-9474629","BQ-4FEP-C3OH","Order Payment","Amazon fees","FBA Weight Handling Fee","($3.62)",,,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"27-Mar-16","114-5324565-9474629","BQ-4FEP-C3OH","Order Payment","Amazon fees","Referral Fee on Item Price","($3.75)",,,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"27-Mar-16","114-5324565-9474629","BQ-4FEP-C3OH","Order Payment","Product charges",,"$24.99 ",,"1","Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"27-Mar-16","109-2046327-6002648","BQ-4FEP-C3OH","Order Payment","Amazon fees","FBA Pick & Pack Fee","($4.09)",,,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"27-Mar-16","109-2046327-6002648","BQ-4FEP-C3OH","Order Payment","Amazon fees","FBA Weight Handling Fee","($3.62)",,,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"27-Mar-16","109-2046327-6002648","BQ-4FEP-C3OH","Order Payment","Amazon fees","Referral Fee on Item Price","($3.75)",,,"Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"27-Mar-16","109-2046327-6002648","BQ-4FEP-C3OH","Order Payment","Product charges",,"$24.99 ",,"1","Hypoallergenic Contour Bamboo Memory Foam Pillow Great for Relieving Neck and Shoulder Aches"
"27-Mar-16","116-4642191-0848258","3Y-2VGV-AZ21","Order Payment","Amazon fees","FBA Pick & Pack Fee","($8.18)",,,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow"
"27-Mar-16","116-4642191-0848258","3Y-2VGV-AZ21","Order Payment","Amazon fees","FBA Weight Handling Fee","($8.02)",,,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow"
"27-Mar-16","116-4642191-0848258","3Y-2VGV-AZ21","Order Payment","Amazon fees","Referral Fee on Item Price","($4.50)",,,"Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow"
"27-Mar-16","116-4642191-0848258","3Y-2VGV-AZ21","Order Payment","Product charges",,"$59.98 ",,"2","Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow"
"27-Mar-16","116-4642191-0848258","3Y-2VGV-AZ21","Order Payment","Promo rebates",,"($29.99)",,"2","Cool Gel Memory Foam Ventilated Core Hypoallergenic Standard Pillow"
"27-Mar-16","111-5425280-2638624","7W-PCJO-3BVK","Order Payment","Amazon fees","FBA Order Handling Fee","($1.00)",,,"Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Black)"
"27-Mar-16","111-5425280-2638624","7W-PCJO-3BVK","Order Payment","Amazon fees","FBA Pick & Pack Fee","($1.06)",,,"Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Black)"
"27-Mar-16","111-5425280-2638624","7W-PCJO-3BVK","Order Payment","Amazon fees","FBA Weight Handling Fee","($0.96)",,,"Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Black)"
"27-Mar-16","111-5425280-2638624","7W-PCJO-3BVK","Order Payment","Amazon fees","Referral Fee on Item Price","($1.87)",,,"Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Black)"
"27-Mar-16","111-5425280-2638624","7W-PCJO-3BVK","Order Payment","Amazon fees","Shipping Chargeback","($5.55)",,,"Xpert DEEP BASS Ultimate Comfort Pillow Soft Over the Ear Headphones with Mic (Black)"
